# Soruce: TNS, ""Discovery Data Source/s"":  ATLAS, Date: 2020 to 2025, Object Type: SNe Ia-91bg-like
ID,Name,RA,DEC,Redshift
72201,SN 2020abmg,08:15:24.545,-06:57:27.74,0.04
74175,SN 2020aejj,05:01:03.906,-38:26:54.97,0.056
93624,SN 2021aare,06:03:40.032,-26:39:47.67,0.0404
94548,SN 2021abzd,00:43:35.889,+30:35:32.36,0.018086
97498,SN 2021agej,01:29:58.070,+19:26:20.72,0.04
97734,SN 2021agnf,06:31:55.004,+35:33:23.77,0.027
76230,SN 2021bls,16:43:20.729,+61:35:41.52,0.019
76259,SN 2021bmu,01:18:04.563,+14:33:13.23,0.053
79057,SN 2021fnr,14:38:01.891,+10:11:02.48,0.026949
79496,SN 2021gel,12:26:32.288,+31:25:42.22,0.06
81502,SN 2021jbp,13:24:57.974,-24:10:50.77,0.042
85976,SN 2021pom,12:18:01.874,-20:51:27.39,0.032269
86852,SN 2021qvv,12:28:02.920,+09:48:10.26,0.001825
91075,SN 2021wzb,04:51:04.140,-05:57:24.81,0.0478
91243,SN 2021xfm,21:15:00.852,+21:54:36.35,0.04
92992,SN 2021zsz,06:10:33.313,-14:32:19.97,0.035746
122610,SN 2022aecb,04:59:02.250,-00:26:30.88,0.015
105318,SN 2022fjx,10:43:30.163,+19:04:58.81,0.046
107370,SN 2022ihz,09:42:48.220,-03:36:25.45,0.006
111833,SN 2022omn,22:47:27.119,-25:39:53.34,0.05
114543,SN 2022skw,01:55:44.666,-25:14:55.48,0.07
115671,SN 2022ubt,19:16:28.790,+41:53:21.45,0.052
116814,SN 2022vse,04:01:21.919,-54:45:15.90,0.05
119036,SN 2022ywc,03:22:12.123,-42:53:04.82,0.058
142763,SN 2023abdv,01:11:08.470,-13:56:38.72,0.052
143442,SN 2023acdv,13:32:45.130,-13:02:49.81,0.023
122834,SN 2023dk,05:11:06.320,-01:04:49.08,0.02844
127391,SN 2023fot,12:21:47.557,+10:35:29.11,0.026467
127583,SN 2023fwb,21:23:39.395,+39:34:51.36,0.027
129781,SN 2023jah,20:31:09.277,-44:15:44.77,0.03
132127,SN 2023mkp,13:39:22.927,+51:02:58.76,0.015293
145366,SN 2024bjb,11:11:55.793,+03:08:01.28,0.0298
148950,SN 2024fid,12:24:18.861,+10:26:46.41,0.06
151817,SN 2024jhk,10:51:24.286,+08:33:29.94,0.02315
154715,SN 2024luo,00:40:17.760,+02:45:23.87,0.017
157050,SN 2024pbd,15:11:13.082,+46:08:52.25,0.018326
157580,SN 2024pkh,22:44:32.087,-42:31:18.54,0.067
159498,SN 2024sag,05:35:28.822,-17:48:03.59,0.01
160053,SN 2024stt,22:23:42.752,-63:09:27.84,0.044
161183,SN 2024ulb,01:23:48.965,-15:42:36.90,0.044
163211,SN 2024xhs,23:33:55.825,-23:43:42.88,0.0474
165490,SN 2024zwb,21:22:01.662,+07:08:41.51,0.029